,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,23722799.699999966,92735.91349999984,2120.0,2505.0,3970.085,19788.0,118613.99849999983,20.060000000000006
1,24166832.699999966,93475.91349999984,3580.0,3245.0,3990.25,19788.0,120834.16349999984,20.790000000000006
2,23977051.699999966,93160.91349999984,2990.0,2930.0,3946.345,19788.0,119885.25849999982,20.495000000000005
3,23925716.699999966,93075.91349999984,2860.0,2845.0,3904.67,19788.0,119628.58349999983,20.430000000000003
4,23930915.699999966,93080.91349999984,2850.0,2850.0,3935.665,19788.0,119654.57849999983,20.425000000000004
5,23901865.699999966,93035.91349999984,2720.0,2805.0,3965.415,19788.0,119509.32849999983,20.360000000000007
6,23831850.699999966,92910.91349999984,2470.0,2680.0,3990.34,19788.0,119159.25349999983,20.235
7,23790312.699999966,92850.91349999984,2390.0,2620.0,3922.65,19788.0,118951.56349999983,20.195
8,24028656.699999966,93245.91349999984,3160.0,3015.0,3949.37,19788.0,120143.28349999983,20.580000000000005
9,23867466.699999966,92975.91349999984,2660.0,2745.0,3913.42,19788.0,119337.33349999983,20.330000000000005
10,23980690.699999966,93165.91349999984,3010.0,2935.0,3939.54,19788.0,119903.45349999983,20.505000000000003
11,23814081.699999966,92885.91349999984,2460.0,2655.0,3936.495,19788.0,119070.40849999983,20.230000000000004
12,23830195.699999966,92915.91349999984,2520.0,2685.0,3927.065,19788.0,119150.97849999982,20.260000000000005
13,23883209.699999966,93005.91349999984,2740.0,2775.0,3882.135,19788.0,119416.04849999983,20.370000000000005
14,26900231.599999923,108064.39799999962,2490.0,2795.0,4158.76,19788.0,134501.15799999962,20.245
15,23929106.699999966,93080.91349999984,2840.0,2850.0,3936.62,19788.0,119645.53349999983,20.42
16,23795022.699999966,92860.91349999984,2420.0,2630.0,3906.2,19788.0,118975.11349999983,20.210000000000004
17,26996474.599999923,108224.39799999962,2810.0,2955.0,4159.975,19788.0,134982.3729999996,20.405
18,23982425.699999966,93165.91349999984,3000.0,2935.0,3958.215,19788.0,119912.12849999983,20.500000000000004
19,23821454.699999966,92900.91349999984,2510.0,2670.0,3908.36,19788.0,119107.27349999984,20.255000000000003
20,23675433.699999966,92660.91349999984,1960.0,2430.0,3968.255,19788.0,118377.16849999983,19.980000000000004
21,23861297.699999966,92970.91349999984,2570.0,2740.0,3977.575,19788.0,119306.48849999983,20.285000000000004
22,24021341.699999966,93230.91349999984,3220.0,3000.0,3867.795,19788.0,120106.70849999983,20.610000000000003
23,23746655.699999966,92770.91349999984,2250.0,2540.0,3924.365,19788.0,118733.27849999983,20.125000000000004
24,23927778.699999966,93080.91349999984,2800.0,2850.0,3969.98,19788.0,119638.89349999983,20.400000000000006
25,23899348.699999966,93030.91349999984,2750.0,2800.0,3927.83,19788.0,119496.74349999982,20.375000000000004
