,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,13360059.800000003,107899.39800000003,1860.0,2630.0,4053.2,19788.0,133600.59800000003,19.930000000000003
1,13356759.800000003,107889.39800000003,1820.0,2620.0,4070.2,19788.0,133567.59800000003,19.91
2,13382339.800000003,107969.39800000003,2040.0,2700.0,4026.0,19788.0,133823.39800000002,20.02
3,13426739.800000003,108119.39800000003,2400.0,2850.0,3960.0,19788.0,134267.39800000002,20.2
4,13514939.800000003,108419.39800000003,2860.0,3150.0,4082.0,19788.0,135149.39800000002,20.429999999999996
5,13355959.800000003,107889.39800000003,1840.0,2620.0,4042.2,19788.0,133559.59800000003,19.92
6,13403199.800000003,108039.39800000003,2120.0,2770.0,4084.6,19788.0,134031.99800000002,20.060000000000002
7,13435219.800000003,108149.39800000003,2240.0,2880.0,4174.8,19788.0,134352.19800000003,20.12
8,13405475.800000003,108049.39800000003,2200.0,2780.0,4017.36,19788.0,134054.75800000003,20.100000000000005
9,13406375.800000003,108049.39800000003,2200.0,2780.0,4026.36,19788.0,134063.75800000003,20.099999999999998
10,13445359.800000003,108179.39800000003,2440.0,2910.0,4046.2,19788.0,134453.59800000003,20.220000000000006
11,13428079.800000003,108119.39800000003,2280.0,2850.0,4093.4,19788.0,134280.79800000004,20.140000000000004
12,13343919.800000003,107839.39800000003,1760.0,2570.0,4051.8,19788.0,133439.19800000003,19.880000000000003
13,13444039.800000003,108179.39800000003,2320.0,2910.0,4153.0,19788.0,134440.39800000002,20.16
14,13425419.800000003,108119.39800000003,2320.0,2850.0,4026.8,19788.0,134254.19800000003,20.16
15,13556879.800000003,108549.39800000003,3120.0,3280.0,4111.4,19788.0,135568.79800000004,20.560000000000002
16,10387846.89999998,77612.4289999998,1800.0,2420.0,4678.04,19788.0,103878.4689999998,19.9
17,13397035.800000003,108019.39800000003,2060.0,2750.0,4102.96,19788.0,133970.35800000004,20.03
18,13441079.800000003,108169.39800000003,2340.0,2900.0,4113.4,19788.0,134410.79800000004,20.17
19,13415079.800000003,108079.39800000003,2180.0,2810.0,4103.4,19788.0,134150.79800000004,20.090000000000003
20,13405619.800000003,108049.39800000003,2140.0,2780.0,4078.8,19788.0,134056.19800000003,20.07
21,13354259.800000003,107879.39800000003,1840.0,2610.0,4035.2,19788.0,133542.59800000003,19.920000000000005
22,13338259.800000003,107829.39800000003,1640.0,2560.0,4125.2,19788.0,133382.59800000003,19.820000000000007
23,13498299.800000003,108359.39800000003,2760.0,3090.0,4075.6,19788.0,134982.99800000002,20.38
24,13410139.800000003,108059.39800000003,2200.0,2790.0,4054.0,19788.0,134101.39800000002,20.1
25,13483199.800000003,108309.39800000003,2600.0,3040.0,4134.6,19788.0,134831.99800000002,20.3
26,13461899.800000003,108239.39800000003,2480.0,2970.0,4111.6,19788.0,134618.99800000002,20.240000000000002
27,13304159.800000003,107719.39800000003,1380.0,2450.0,4154.2,19788.0,133041.59800000003,19.690000000000005
28,13371899.800000003,107939.39800000003,1860.0,2670.0,4131.6,19788.0,133718.99800000002,19.93
29,13445079.800000003,108179.39800000003,2380.0,2910.0,4103.4,19788.0,134450.79800000004,20.19
30,13340039.800000003,107829.39800000003,1660.0,2560.0,4123.0,19788.0,133400.39800000002,19.830000000000005
31,13358379.800000003,107889.39800000003,1880.0,2620.0,4026.4,19788.0,133583.79800000004,19.939999999999998
32,13449059.800000003,108189.39800000003,2400.0,2920.0,4113.2,19788.0,134490.59800000003,20.200000000000003
33,13371779.800000003,107929.39800000003,1760.0,2660.0,4240.4,19788.0,133717.79800000004,19.880000000000003
34,13453859.800000003,108209.39800000003,2460.0,2940.0,4081.2,19788.0,134538.59800000003,20.230000000000004
35,13389095.800000003,107989.39800000003,2020.0,2720.0,4093.56,19788.0,133890.958,20.010000000000005
36,13436199.800000003,108159.39800000003,2380.0,2890.0,4034.6,19788.0,134361.99800000002,20.19
37,13402239.800000003,108039.39800000003,2060.0,2770.0,4135.0,19788.0,134022.39800000002,20.03
38,13487519.800000003,108319.39800000003,2680.0,3050.0,4087.8,19788.0,134875.19800000003,20.34
39,13423839.800000003,108109.39800000003,2360.0,2840.0,3981.0,19788.0,134238.39800000002,20.179999999999996
40,13394239.800000003,108009.39800000003,2120.0,2740.0,4025.0,19788.0,133942.39800000002,20.060000000000006
41,13366439.800000003,107919.39800000003,1860.0,2650.0,4097.0,19788.0,133664.39800000002,19.93
42,13435539.800000003,108159.39800000003,2340.0,2890.0,4068.0,19788.0,134355.39800000002,20.17
43,13404659.800000003,108049.39800000003,2080.0,2780.0,4129.2,19788.0,134046.59800000003,20.040000000000003
44,13371039.800000003,107929.39800000003,1960.0,2660.0,4033.0,19788.0,133710.39800000002,19.979999999999997
45,13462359.800000003,108239.39800000003,2580.0,2970.0,4016.2,19788.0,134623.59800000003,20.29
46,13517099.800000003,108429.39800000003,2860.0,3160.0,4093.6,19788.0,135170.99800000002,20.430000000000003
47,13385779.800000003,107989.39800000003,1940.0,2720.0,4140.4,19788.0,133857.79800000004,19.969999999999995
48,13412319.800000003,108069.39800000003,2120.0,2800.0,4145.8,19788.0,134123.19800000003,20.060000000000002
49,13433519.800000003,108139.39800000003,2340.0,2870.0,4067.8,19788.0,134335.19800000003,20.169999999999998
50,13449435.800000003,108189.39800000003,2519.9999999999995,2920.0,3996.96,19788.0,134494.35800000004,20.259999999999998
51,13343131.800000003,107839.39800000003,1720.0,2570.0,4083.92,19788.0,133431.31800000003,19.860000000000003
52,13432359.800000003,108129.39800000003,2300.0,2860.0,4106.2,19788.0,134323.59800000003,20.150000000000002
53,13393819.800000003,108009.39800000003,2040.0,2740.0,4100.8,19788.0,133938.19800000003,20.020000000000003
54,13348599.800000003,107859.39800000003,1700.0,2590.0,4138.6,19788.0,133485.99800000002,19.85
55,13350619.800000003,107869.39800000003,1740.0,2600.0,4108.8,19788.0,133506.19800000003,19.87
56,13345399.800000003,107849.39800000003,1780.0,2580.0,4036.6,19788.0,133453.99800000002,19.89
57,13410959.800000003,108059.39800000003,2100.0,2790.0,4162.2,19788.0,134109.59800000003,20.05
58,13448219.800000003,108189.39800000003,2460.0,2920.0,4044.8,19788.0,134482.19800000003,20.229999999999997
59,13357479.800000003,107889.39800000003,1780.0,2620.0,4117.4,19788.0,133574.79800000004,19.889999999999997
60,13457039.800000003,108219.39800000003,2540.0,2950.0,4023.0,19788.0,134570.39800000002,20.270000000000007
61,13372019.800000003,107939.39800000003,1740.0,2670.0,4252.8,19788.0,133720.19800000003,19.870000000000005
62,13272191.800000003,107599.39800000003,1420.0,2330.0,3914.52,19788.0,132721.91800000003,19.71
63,13312279.800000003,107739.39800000003,1500.0,2470.0,4095.4,19788.0,133122.79800000004,19.75
64,13321939.800000003,107769.39800000003,1660.0,2500.0,4002.0,19788.0,133219.39800000002,19.830000000000002
65,13317019.800000003,107759.39800000003,1520.0,2490.0,4102.8,19788.0,133170.19800000003,19.76
66,13448979.800000003,108189.39800000003,2420.0,2920.0,4092.4,19788.0,134489.79800000004,20.21
67,13426319.800000003,108109.39800000003,2280.0,2840.0,4085.8,19788.0,134263.19800000003,20.14
68,13370359.800000003,107939.39800000003,1860.0,2670.0,4116.2,19788.0,133703.59800000003,19.930000000000007
69,13392399.800000003,108009.39800000003,2100.0,2740.0,4026.6,19788.0,133923.99800000002,20.05
70,10519990.89999998,78052.4289999998,2760.0,2860.0,4599.48,19788.0,105199.9089999998,20.38
71,13389819.800000003,107999.39800000003,2059.9999999999995,2730.0,4050.8,19788.0,133898.19800000003,20.03
72,13642379.800000003,108839.39800000003,3760.0,3570.0,4036.4,19788.0,136423.79800000004,20.880000000000003
73,13453179.800000003,108209.39800000003,2500.0,2940.0,4034.4,19788.0,134531.79800000004,20.25
74,13393419.800000003,107999.39800000003,2060.0,2730.0,4086.8,19788.0,133934.19800000003,20.029999999999998
75,13379059.800000003,107959.39800000003,1980.0,2690.0,4063.2,19788.0,133790.59800000003,19.99
76,13376679.800000003,107949.39800000003,2020.0,2680.0,4009.4,19788.0,133766.79800000004,20.01
77,13367059.800000003,107919.39800000003,1900.0,2650.0,4063.2,19788.0,133670.59800000003,19.950000000000003
78,13427819.800000003,108119.39800000003,2360.0,2850.0,4010.8,19788.0,134278.19800000003,20.180000000000003
79,13419379.800000003,108099.39800000003,2200.0,2830.0,4106.4,19788.0,134193.79800000004,20.1
80,13470819.800000003,108269.39800000003,2560.0,3000.0,4090.8,19788.0,134708.19800000003,20.280000000000005
81,13329739.800000003,107799.39800000003,1640.0,2530.0,4070.0,19788.0,133297.39800000002,19.82
82,13515439.800000003,108409.39800000003,2960.0,3140.0,3997.0,19788.0,135154.39800000002,20.48
83,13443279.800000003,108169.39800000003,2300.0,2900.0,4175.4,19788.0,134432.79800000004,20.15
84,13458959.800000003,108229.39800000003,2560.0,2960.0,4012.2,19788.0,134589.59800000003,20.28
85,13404379.800000003,108039.39800000003,2140.0,2770.0,4076.4,19788.0,134043.79800000004,20.07
86,13413779.800000003,108079.39800000003,2140.0,2810.0,4130.4,19788.0,134137.79800000004,20.07
87,13346319.800000003,107849.39800000003,1780.0,2580.0,4045.8,19788.0,133463.19800000003,19.890000000000008
88,13402439.800000003,108039.39800000003,2160.0,2770.0,4037.0,19788.0,134024.39800000002,20.080000000000002
89,13463419.800000003,108239.39800000003,2460.0,2970.0,4146.8,19788.0,134634.19800000003,20.23
90,13534359.800000003,108479.39800000003,3020.0,3210.0,4056.2,19788.0,135343.59800000003,20.51
91,13538379.800000003,108479.39800000003,3040.0,3210.0,4076.4,19788.0,135383.79800000004,20.52
92,13416739.800000003,108079.39800000003,2220.0,2810.0,4080.0,19788.0,134167.39800000002,20.110000000000003
93,10465918.89999998,77872.4289999998,2360.0,2680.0,4638.76,19788.0,104659.1889999998,20.180000000000003
94,13490399.800000003,108329.39800000003,2700.0,3060.0,4086.6,19788.0,134903.99800000002,20.349999999999998
95,13397019.800000003,108019.39800000003,2060.0,2750.0,4102.8,19788.0,133970.19800000003,20.029999999999998
