,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,15070454.910400027,91305.86328320022,4400.0,3048.0,4119.952,20737.824,120563.63928320022,21.2
1,14926878.91040003,90913.86328320023,3584.0000000000005,2656.0,4179.344,20737.824,119415.03128320024,20.792
2,15083762.428800028,91651.58743040022,4016.0,2720.0,4106.384,20896.128,120670.09943040022,21.008000000000003
3,14767435.873600028,89878.41498880023,3680.0,2968.0,4159.856,20421.216,118139.48698880023,20.839999999999996
4,14888186.910400031,90817.86328320025,3488.0,2560.0,4061.808,20737.824,119105.49528320025,20.743999999999996
5,16404930.094400033,97915.10475520027,6752.0,2920.0,4251.472,22320.864,131239.44075520028,22.376
6,15078870.910400024,91337.86328320023,4351.999999999905,3080.0,4203.280000000048,20737.824,120630.9672832002,21.17599999999996
7,14686163.873600027,89670.41498880021,3280.0,2760.0,4117.68,20421.216,117489.3109888002,20.640000000000008
8,14928115.392000029,90616.13913600023,4112.0,3032.0,4117.264,20579.52,119424.92313600023,21.056
9,15316177.947200028,92557.31157760022,4688.0,2952.0,4229.68,21054.432,122529.42357760023,21.343999999999998
10,15025366.428800026,91475.5874304002,3680.0,2544.0,4151.216,20896.128,120202.9314304002,20.840000000000003
11,14870199.392000029,90464.13913600023,3760.0,2880.0,4157.936,20579.52,118961.59513600024,20.88
12,15017786.910400027,91169.86328320022,4032.0,2912.0,4202.608,20737.824,120142.29528320022,21.016000000000002
13,14959382.910400027,91009.86328320022,3856.0,2752.0,4071.376,20737.824,119675.06328320022,20.928
14,14552732.355200028,89012.69084160023,3024.0,2776.0,4122.256,20262.912,116421.85884160023,20.512
15,15132886.428800028,91779.58743040022,4288.0,2848.0,4099.376,20896.128,121063.09143040022,21.144000000000002
16,14470192.836800028,88482.96669440022,3072.0,2920.0,4101.968,20104.608,115761.54269440022,20.536
17,15053498.42880003,91571.58743040024,3872.0,2640.0,4088.272,20896.128,120427.98743040024,20.936000000000007
18,15087194.42880003,91651.58743040024,3984.0,2720.0,4165.84,20896.128,120697.55543040024,20.992
19,15237909.947200032,92365.31157760025,4304.0,2760.0,4179.536,21054.432,121903.27957760026,21.151999999999997
20,15148662.428800028,91811.58743040022,4351.9999999999845,2880.0,4129.584000000016,20896.128,121189.29943040022,21.17599999999999
21,14878491.392000029,90496.13913600023,3808.0,2912.0,4144.272,20579.52,119027.93113600023,20.903999999999996
22,14504272.35520003,88876.69084160024,2800.0,2640.0,4094.576,20262.912,116034.17884160024,20.400000000000006
23,15165493.94720003,92173.31157760024,3824.0,2568.0,4272.208,21054.432,121323.95157760024,20.912000000000003
24,14803907.39200003,90288.13913600025,3472.0,2704.0,4091.6,20579.52,118431.25913600024,20.736
25,15637176.50240003,94346.48401920023,5024.0,2720.0,4197.584,21529.344,125097.41201920023,21.512
26,14534888.35520003,88956.69084160024,2960.0,2720.0,4099.504,20262.912,116279.10684160024,20.479999999999997
27,14960622.91040003,91009.86328320023,3776.0,2752.0,4161.296,20737.824,119684.98328320023,20.888
28,15195234.428800028,91947.58743040022,4624.0,3016.0,4094.16,20896.128,121561.87543040022,21.312
29,14968250.91040003,91025.86328320023,3792.0,2768.0,4190.32,20737.824,119746.00728320023,20.896000000000004
30,14352172.836800028,88170.96669440022,2448.0,2608.0,4093.808,20104.608,114817.38269440022,20.224
31,15027818.428800026,91499.5874304002,3712.0,2568.0,4114.832,20896.128,120222.54743040021,20.856000000000005
32,14204865.31840003,87481.24254720024,2160.0,2592.0,4051.376,19946.304,113638.92254720023,20.08
33,15325885.94720003,92589.31157760024,4864.0,2984.0,4099.344,21054.432,122607.08757760024,21.432
34,15352097.46560003,92975.03572480024,4400.0,2696.0,4229.008,21212.736,122816.77972480025,21.2
35,15244369.94720003,92381.31157760024,4368.0,2776.0,4151.216,21054.432,121954.95957760024,21.183999999999997
36,14982518.91040003,91081.86328320023,3936.0,2824.0,4104.464,20737.824,119860.15128320023,20.967999999999996
37,15563156.984000029,93848.75987200023,5088.0,2896.0,4197.456,21371.04,124505.25587200023,21.544
38,19259701.459199965,125915.27567359972,3680.0,2720.0,4219.424,20262.912,154077.61167359972,20.840000000000003
39,14538752.35520003,88972.69084160024,2895.9999999999973,2736.0,4178.416,20262.912,116310.01884160023,20.447999999999997
40,20084726.891199965,130591.59112959972,4576.0,2584.0,4455.792,21054.432,160677.8151295997,21.288
41,14761063.392000029,90176.13913600023,3264.0,2592.0,4068.848,20579.52,118088.50713600023,20.631999999999994
42,14922294.910400027,90913.86328320022,3696.0,2656.0,4030.672,20737.824,119378.35928320022,20.848000000000003
43,15076602.428800028,91627.58743040022,3968.0,2696.0,4121.104,20896.128,120612.81943040022,20.984
44,14914322.91040003,90897.86328320023,3552.0,2640.0,4126.896,20737.824,119314.58328320023,20.775999999999996
45,15157334.428800032,91851.58743040025,4368.0,2920.0,4142.96,20896.128,121258.67543040025,21.183999999999997
46,14974722.91040003,91057.86328320023,3888.0,2800.0,4114.096,20737.824,119797.78328320023,20.944
47,15127586.428800028,91763.58743040022,4144.0,2832.0,4216.976,20896.128,121020.69143040023,21.072000000000003
48,14958846.91040003,91009.86328320023,3760.0,2752.0,4163.088,20737.824,119670.77528320023,20.879999999999995
49,14585772.355200028,89092.69084160023,3328.0,2856.0,4002.576,20262.912,116686.17884160022,20.663999999999998
50,14869863.39200003,90472.13913600025,3728.0,2888.0,4179.248,20579.52,118958.90713600024,20.864000000000004
51,20136776.89119996,130735.59112959969,4944.0,2728.0,4360.192,21054.432,161094.2151295997,21.472
52,14948514.91040003,90977.86328320023,3744.0,2720.0,4128.432,20737.824,119588.11928320023,20.871999999999996
53,14563536.355200028,89044.69084160023,3040.0,2808.0,4160.688,20262.912,116508.29084160022,20.520000000000007
54,15307142.42880003,92243.58743040024,5280.0,3312.0,4037.424,20896.128,122457.13943040023,21.640000000000004
55,15245245.947200028,92389.31157760022,4432.0,2784.0,4086.224,21054.432,121961.96757760023,21.215999999999998
56,14329052.83680003,88106.96669440024,2336.0,2544.0,4084.848,20104.608,114632.42269440023,20.168
57,14575399.873600028,89374.41498880023,2688.000000000013,2464.0,4119.567999999986,20421.216,116603.19898880023,20.344000000000005
58,14964010.42880003,91331.58743040024,3312.0,2400.0,4172.368,20896.128,119712.08343040023,20.656
59,19452823.345599968,126925.73876479974,3984.0,2768.0,4291.632,20421.216,155622.58676479975,20.992000000000008
60,14533680.355200028,88956.69084160023,3040.0,2720.0,4009.84,20262.912,116269.44284160022,20.52
61,14896222.91040003,90841.86328320023,3520.0,2584.0,4070.096,20737.824,119169.78328320023,20.76
62,14753475.873600028,89846.41498880023,3664.0,2936.0,4096.176,20421.216,118027.80698880022,20.831999999999997
63,14863351.392000029,90448.13913600023,3760.0,2864.0,4119.152,20579.52,118906.81113600024,20.88
64,14381096.83680003,88242.96669440024,2528.0,2680.0,4173.2,20104.608,115048.77469440024,20.264
65,14889595.39200003,90520.13913600025,3888.0,2936.0,4129.104,20579.52,119116.76313600024,20.944
66,14829719.392000029,90360.13913600023,3536.0000000000023,2776.0,4162.096,20579.52,118637.75513600023,20.767999999999997
67,15060274.428800028,91587.58743040022,3968.0,2656.0,4030.48,20896.128,120482.19543040023,20.983999999999998
68,14761199.392000027,90176.13913600022,3232.0,2592.0,4101.936,20579.52,118089.59513600022,20.616000000000003
69,20054001.89119997,130511.59112959974,4464.0,2504.0,4401.992,21054.432,160432.01512959975,21.232
70,14878506.910400027,90785.86328320022,3408.0,2528.0,4096.368,20737.824,119028.05528320021,20.704
71,15148566.428800028,91819.58743040022,4336.0,2888.0,4136.816,20896.128,121188.53143040022,21.168000000000003
72,14369108.836800028,88210.96669440022,2544.0,2648.0,4093.296,20104.608,114952.87069440022,20.272
73,15175269.947200028,92197.31157760022,4000.0,2592.0,4150.416,21054.432,121402.15957760022,21.0
74,15076658.42880003,91619.58743040024,3936.0,2688.0,4161.552,20896.128,120613.26743040024,20.968000000000004
75,14969782.91040003,91033.86328320023,3888.0,2776.0,4098.576,20737.824,119758.26328320023,20.944000000000003
76,15383677.465600029,93055.03572480023,4655.999999999982,2776.0,4145.648000000019,21212.736,123069.41972480023,21.327999999999996
77,15085502.91040003,91337.86328320023,4416.0,3080.0,4192.336,20737.824,120684.02328320024,21.208000000000002
78,19769821.11839997,128762.66494719975,4272.0,2680.0,4386.08,20737.824,158158.56894719976,21.135999999999996
