,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,25164156.834999964,97247.45917499982,3820.0,2505.0,3975.925,20777.4,125820.78417499982,20.910000000000004
1,25752296.748499963,98438.61374249982,5430.0,3245.0,4016.53,20876.34,128761.48374249981,21.715000000000003
2,24846113.180999964,95867.84090499982,3990.0,2930.0,3991.085,20381.64,124230.56590499982,20.995000000000005
3,25652722.661999963,98489.76830999981,4780.0,2845.0,4018.565,20975.28,128263.61330999981,21.390000000000004
4,25369539.834999964,97592.45917499982,4430.0,2850.0,4047.84,20777.4,126847.69917499981,21.215000000000003
5,26060522.402499963,99803.23201249981,5200.0,2805.0,4027.28,21272.1,130302.61201249981,21.600000000000005
6,25409872.748499963,97873.61374249982,4220.0,2680.0,4079.41,20876.34,127049.36374249982,21.11
7,25376048.748499963,97813.61374249982,4140.0,2620.0,4050.29,20876.34,126880.24374249982,21.07
8,25613478.748499963,98208.61374249982,4990.0,3015.0,3992.44,20876.34,128067.39374249981,21.495000000000005
9,25167601.921499964,97036.30460749981,4120.0,2745.0,4003.245,20678.46,125838.00960749981,21.060000000000002
10,25708344.661999963,98579.76830999981,4970.0,2935.0,4016.675,20975.28,128541.72330999981,21.485
11,25108585.921499964,96946.30460749981,3920.0,2655.0,3998.165,20678.46,125542.92960749981,20.96
12,25561974.661999963,98329.76830999981,4480.0,2685.0,4024.825,20975.28,127809.87330999982,21.240000000000002
13,25760633.575499963,98870.92287749982,4820.0,2775.0,4038.025,21074.22,128803.16787749981,21.410000000000004
14,28176000.783999924,112275.17391999962,3810.0,2795.0,4215.31,20579.52,140880.0039199996,20.905000000000005
15,25659629.661999963,98494.76830999981,4870.0,2850.0,3958.1,20975.28,128298.14830999981,21.435000000000002
16,24949560.007999964,96470.15003999982,3790.0,2630.0,3908.13,20579.52,124747.80003999983,20.895000000000003
17,26009505.488999963,99502.07744499981,5440.0,2955.0,3932.29,21173.16,130047.52744499981,21.720000000000006
18,25421786.834999964,97677.45917499982,4700.0,2935.0,3954.075,20777.4,127108.93417499981,21.35
19,24976297.007999964,96510.15003999982,3840.0,2670.0,3951.815,20579.52,124881.48503999982,20.92
20,26128698.229499962,100330.54114749981,4780.0,2430.0,4062.97,21469.98,130643.49114749981,21.39
21,21892493.80299994,80564.1640149997,4110.0,2740.0,4307.725,20480.58,109462.4690149997,21.055000000000003
22,26185026.402499963,99998.23201249981,5630.0,3000.0,4024.8,21272.1,130925.13201249982,21.815000000000005
23,24755374.094499964,95928.99547249982,3390.0,2540.0,3977.295,20480.58,123776.87047249982,20.695
24,25943194.488999963,99397.07744499981,5160.0,2850.0,3985.735,21173.16,129715.97244499982,21.580000000000005
25,25627807.661999963,98444.76830999981,4700.0,2800.0,4018.99,20975.28,128139.03830999981,21.35
26,25396884.921499964,97426.30460749981,4890.0,3135.0,3989.66,20678.46,126984.42460749982,21.445
27,25121106.007999964,96750.15003999982,4320.0,2910.0,3955.86,20579.52,125605.53003999982,21.160000000000004
28,25754601.575499963,98865.92287749982,4790.0,2770.0,4042.865,21074.22,128773.00787749981,21.395000000000003
29,25783532.488999963,99117.07744499981,4620.0,2570.0,4007.425,21173.16,128917.66244499982,21.310000000000002
30,25876861.575499963,99065.92287749982,5180.0,2970.0,4064.165,21074.22,129384.30787749981,21.590000000000003
31,24554508.267499965,95176.68633749982,3360.0,2690.0,3953.155,20282.7,122772.54133749982,20.680000000000003
32,24740017.094499964,95908.99547249982,3320.0,2520.0,3990.51,20480.58,123700.08547249982,20.660000000000004
33,27451452.19199992,110024.7859599996,2920.0,2650.0,4128.715,20183.76,137257.2609599996,20.46
34,24842601.094499964,96073.99547249982,3710.0,2685.0,3948.43,20480.58,124213.00547249982,20.855000000000004
35,25619160.661999963,98429.76830999981,4680.0,2785.0,4010.755,20975.28,128095.80330999981,21.340000000000003
36,25302550.748499963,97688.61374249982,3900.0,2495.0,4047.8,20876.34,126512.75374249982,20.950000000000003
37,25430874.748499963,97903.61374249982,4460.0,2710.0,3914.42,20876.34,127154.37374249981,21.230000000000004
38,25244825.921499964,97171.30460749981,4350.0,2880.0,4024.365,20678.46,126224.12960749982,21.175000000000004
39,25279877.834999964,97442.45917499982,4200.0,2700.0,3979.53,20777.4,126399.38917499981,21.1
40,25533969.661999963,98289.76830999981,4400.0,2645.0,4004.8,20975.28,127669.84830999981,21.200000000000003
41,25456096.834999964,97737.45917499982,4770.0,2995.0,3995.625,20777.4,127280.48417499982,21.385000000000005
42,25322513.834999964,97507.45917499982,4220.0,2765.0,4107.71,20777.4,126612.56917499982,21.11
43,25085374.094499964,96473.99547249982,4480.0,3085.0,3992.295,20480.58,125426.87047249982,21.240000000000002
44,25341755.921499964,97336.30460749981,4650.0,3045.0,4044.015,20678.46,126708.77960749982,21.325000000000003
45,25349321.921499964,97346.30460749981,4730.0,3055.0,3991.845,20678.46,126746.60960749982,21.365000000000002
46,25075711.094499964,96468.99547249982,4400.0,3080.0,4028.98,20480.58,125378.55547249982,21.200000000000003
47,25199788.921499964,97091.30460749981,4200.0,2800.0,4029.18,20678.46,125998.94460749981,21.1
48,24775324.180999964,95757.84090499982,3750.0,2820.0,3987.14,20381.64,123876.62090499983,20.875000000000004
49,25631307.575499963,98655.92287749982,4440.0,2560.0,3986.395,21074.22,128156.53787749981,21.220000000000002
50,25167836.834999964,97262.45917499982,3850.0,2520.0,3949.325,20777.4,125839.18417499981,20.925000000000004
51,25816168.575499963,98960.92287749982,4930.0,2865.0,4115.7,21074.22,129080.84287749982,21.465000000000003
52,25509229.748499963,98033.61374249982,4660.0,2840.0,3976.195,20876.34,127546.14874249982,21.330000000000005
53,25614283.661999963,98414.76830999981,4660.0,2770.0,4021.37,20975.28,128071.41830999982,21.330000000000005
54,25083311.007999964,96690.15003999982,4220.0,2850.0,3926.885,20579.52,125416.55503999982,21.11
55,25351478.748499963,97773.61374249982,4090.0,2580.0,4017.44,20876.34,126757.39374249981,21.045000000000005
56,24727762.094499964,95883.99547249982,3370.0,2495.0,3904.235,20480.58,123638.81047249983,20.685000000000002
57,25553877.661999963,98314.76830999981,4469.999999999995,2670.0,4009.34,20975.28,127769.38830999982,21.235
58,25362830.748499963,97788.61374249982,4140.0,2595.0,4009.2,20876.34,126814.15374249982,21.070000000000004
59,24687968.180999964,95612.84090499982,3460.0,2675.0,3985.36,20381.64,123439.84090499982,20.730000000000004
60,25583109.661999963,98364.76830999981,4490.0,2720.0,4085.5,20975.28,127915.54830999981,21.245000000000005
61,25598641.661999963,98394.76830999981,4630.0,2750.0,3993.16,20975.28,127993.20830999981,21.315000000000005
62,24782780.094499964,95978.99547249982,3510.0,2590.0,3944.325,20480.58,123913.90047249982,20.755000000000003
63,25150236.921499964,97016.30460749981,4070.0,2725.0,3986.42,20678.46,125751.18460749982,21.035000000000004
64,22486447.94799994,82348.9747399997,4739.999999999997,2645.0,4367.985,20975.28,112432.2397399997,21.37
65,25709550.661999963,98579.76830999981,4950.0,2935.0,4042.705,20975.28,128547.75330999981,21.475
66,26131698.315999962,100129.38657999982,5060.0,2680.0,4098.065,21371.04,130658.49157999981,21.53
67,24505408.267499965,95096.68633749982,3200.0,2610.0,3947.655,20282.7,122527.04133749982,20.6
68,25277936.921499964,97226.30460749981,4490.0,2935.0,3994.92,20678.46,126389.68460749982,21.245
69,25153489.921499964,97011.30460749981,4110.0,2720.0,3967.685,20678.46,125767.44960749982,21.055
70,24622195.267499965,95291.68633749982,3540.0,2805.0,3996.59,20282.7,123110.97633749983,20.770000000000003
71,25096347.007999964,96720.15003999982,4180.0,2880.0,4002.065,20579.52,125481.73503999982,21.090000000000003
72,25229404.921499964,97146.30460749981,4340.0,2855.0,3982.26,20678.46,126147.02460749981,21.17
73,25156073.834999964,97237.45917499982,3780.0,2495.0,3985.51,20777.4,125780.36917499983,20.89
74,24622242.267499965,95291.68633749982,3570.0,2805.0,3966.825,20282.7,123111.21133749983,20.785000000000004
75,26440140.142999962,101056.6957149998,5500.0,2705.0,4075.085,21568.92,132200.7007149998,21.750000000000004
76,24410225.440499965,94509.37720249983,3460.0,2925.0,3996.93,20084.82,122051.12720249983,20.730000000000004
77,24965058.094499964,96288.99547249982,4050.0,2900.0,4005.715,20480.58,124825.29047249982,21.025000000000006
78,25861489.575499963,99045.92287749982,5170.0,2950.0,4017.305,21074.22,129307.44787749981,21.585
79,24952789.921499964,96681.30460749981,3380.0,2390.0,4024.185,20678.46,124763.94960749982,20.689999999999998
80,24583692.353999965,95015.53176999983,3750.0,2980.0,3969.17,20183.76,122918.46176999982,20.875
81,24699122.180999964,95627.84090499982,3490.0,2690.0,3996.13,20381.64,123495.61090499982,20.745
82,25023266.007999964,96595.15003999982,3960.0,2755.0,3981.66,20579.52,125116.33003999983,20.98
83,26191331.315999962,100224.38657999982,5390.0,2775.0,3971.23,21371.04,130956.6565799998,21.695000000000007
84,24859272.180999964,95897.84090499982,4060.0,2960.0,3956.88,20381.64,124296.36090499982,21.030000000000005
85,24922310.094499964,96203.99547249982,3910.0,2815.0,4016.975,20480.58,124611.55047249982,20.955000000000005
86,25544246.748499963,98093.61374249982,4750.0,2900.0,4001.28,20876.34,127721.23374249981,21.375000000000004
87,26023469.402499963,99738.23201249981,5130.0,2740.0,3977.015,21272.1,130117.34701249981,21.565000000000005
88,25309690.834999964,97492.45917499982,4300.0,2750.0,3978.595,20777.4,126548.45417499982,21.150000000000006
89,25122806.007999964,96760.15003999982,4310.0,2920.0,3964.36,20579.52,125614.03003999982,21.155000000000005
90,25368286.748499963,97803.61374249982,4180.0,2610.0,3981.48,20876.34,126841.43374249982,21.090000000000007
91,25973764.315999962,99864.38657999982,4580.0,2415.0,4053.395,21371.04,129868.82157999981,21.290000000000003
92,25495664.748499963,98018.61374249982,4630.0,2825.0,3953.37,20876.34,127478.32374249982,21.315000000000005
93,25926174.488999963,99367.07744499981,4990.0,2820.0,4100.635,21173.16,129630.87244499981,21.495
94,22286798.518999938,81863.01259499969,4400.0,2535.0,4294.64,20876.34,111433.99259499968,21.200000000000003
95,25208656.921499964,97116.30460749981,4310.0,2825.0,3938.52,20678.46,126043.28460749982,21.155
