,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,38890658.24499983,69906.74561249958,3760.0,2797.5,2782.5,20777.4,97226.64561249959,20.880000000000006
1,37943168.84149982,68750.54210374955,2850.0,2600.0,2776.8,20480.58,94857.92210374954,20.425000000000004
2,38205428.84149983,68975.54210374957,3330.0,2825.0,2727.45,20480.58,95513.57210374957,20.665
3,39526766.08124983,70755.66520312458,4240.0,2847.5,2796.5,21024.75,98816.91520312458,21.120000000000005
4,38573255.11049983,69514.67777624956,3480.0000000000005,2725.0,2760.0,20678.46,96433.13777624957,20.740000000000002
5,39107962.94674983,70281.09736687457,3730.0,2692.5,2833.0,20925.81,97769.90736687457,20.865000000000002
6,38225568.84149982,68980.54210374955,3415.0,2830.0,2687.8,20480.58,95563.92210374954,20.707500000000003
7,38152047.27424982,68863.25818562457,3320.0,2872.5,2765.75,20431.11,95380.11818562455,20.660000000000004
8,38508673.543249816,69409.89385812455,3350.0,2780.0,2882.8,20628.99,96271.68385812454,20.675000000000004
9,39217204.513999835,70445.88128499957,3800.0,2697.5,2821.85,20975.28,98043.0112849996,20.900000000000006
10,38544593.543249816,69452.39385812455,3470.0,2822.5,2810.1,20628.99,96361.48385812454,20.735000000000007
11,38714035.110499814,69629.67777624953,3755.0,2840.0,2721.95,20678.46,96785.08777624954,20.877500000000005
12,38725696.67774983,69719.46169437456,3520.0,2770.0,2846.85,20727.93,96814.24169437456,20.760000000000005
13,39485666.08124982,70730.66520312453,4025.0,2822.5,2933.75,21024.75,98714.16520312455,21.012500000000003
14,41012567.133000195,76525.45783250048,2595.0,2592.5,2930.38,20480.58,102531.41783250049,20.297500000000007
15,42638304.037500195,78697.36009375048,3900.0,2800.0,2973.65,21024.75,106595.76009375049,20.950000000000003
16,39500787.64849982,70805.44912124955,4035.0,2737.5,2837.3,21074.22,98751.96912124954,21.0175
17,39864072.35024983,71282.30087562457,4400.0,2735.0,2755.25,21222.63,99660.18087562457,21.200000000000003
18,38490573.543249816,69394.89385812455,3470.0,2765.0,2732.55,20628.99,96226.43385812454,20.735
19,38952038.24499981,69956.74561249952,3925.0,2847.5,2720.95,20777.4,97380.09561249953,20.962500000000006
20,38047968.84149982,68848.04210374955,2955.0,2697.5,2836.3,20480.58,95119.92210374954,20.477500000000006
21,38811978.244999826,69846.74561249955,3615.0,2737.5,2790.8,20777.4,97029.94561249956,20.807500000000005
22,39316122.94674982,70451.09736687456,4050.0,2862.5,2863.4,20925.81,98290.30736687455,21.025000000000006
23,39322402.94674983,70463.59736687457,4090.0,2875.0,2826.6,20925.81,98306.00736687458,21.04500000000001
24,38397751.97599983,69252.60993999959,3405.0,2782.5,2757.25,20579.52,95994.37993999958,20.702500000000008
25,38819336.67774983,69809.46169437456,3635.0,2860.0,2875.95,20727.93,97048.34169437457,20.817500000000003
26,38692979.81224983,69811.52953062458,3270.0,2542.5,2824.05,20826.87,96732.44953062458,20.635000000000005
27,39196422.94674982,70366.09736687456,3895.0,2777.5,2804.15,20925.81,97991.05736687455,20.9475
28,39476826.08124982,70723.16520312456,4060.0,2815.0,2884.15,21024.75,98692.06520312454,21.03
29,39153322.946749814,70328.59736687453,3765.0,2740.0,2863.9,20925.81,97883.30736687453,20.882500000000004
30,41718797.56150022,77331.20390375056,3360.0,2862.5,2976.8,20628.99,104296.99390375055,20.680000000000007
31,38314550.40874983,69127.82602187457,3300.0,2817.5,2828.5,20530.05,95786.37602187459,20.650000000000006
32,39175342.94674982,70328.59736687456,3880.0,2740.0,2803.95,20925.81,97938.35736687455,20.940000000000005
33,38312551.97599982,69192.60993999954,3180.0,2722.5,2829.25,20579.52,95781.37993999955,20.590000000000003
34,38217353.54324983,69179.89385812459,2960.0,2550.0,2774.5,20628.99,95543.38385812458,20.480000000000004
35,38779059.812249824,69896.52953062457,3320.0,2627.5,2904.25,20826.87,96947.64953062456,20.660000000000004
36,37956125.70699982,68645.97426749957,3095.0,2815.0,2767.7,20381.64,94890.31426749956,20.5475
37,39678729.21574983,71015.23303937458,4175.0,2787.5,2882.9,21123.69,99196.82303937458,21.0875
38,38462211.97599983,69307.60993999957,3505.0,2837.5,2763.4,20579.52,96155.52993999959,20.7525
39,38236128.84149982,68993.04210374954,3295.0,2842.5,2821.7,20480.58,95590.32210374955,20.647500000000004
40,38571513.54324983,69447.39385812459,3599.999999999998,2817.5,2752.4,20628.99,96428.78385812457,20.800000000000004
41,38438373.543249816,69364.89385812455,3270.0,2735.0,2832.05,20628.99,96095.93385812454,20.635000000000005
42,38835496.67774981,69796.96169437452,3770.0,2847.5,2793.85,20727.93,97088.74169437453,20.885000000000005
43,38734278.24499982,69776.74561249955,3430.0,2667.5,2851.55,20777.4,96835.69561249955,20.715000000000003
44,38183651.97599982,69077.60993999954,3030.0,2607.5,2772.0,20579.52,95459.12993999955,20.515000000000004
45,39092941.37949982,70218.81344874954,3730.0,2790.0,2907.2,20876.34,97732.35344874956,20.865000000000006
46,39089562.946749836,70278.59736687459,3700.0,2690.0,2819.5,20925.81,97723.90736687458,20.850000000000005
47,39416884.51399982,70588.38128499954,4180.0,2840.0,2798.55,20975.28,98542.21128499955,21.090000000000003
48,38223228.84149981,68983.04210374953,3355.0,2832.5,2739.45,20480.58,95558.07210374954,20.677500000000002
49,38439195.11049983,69419.67777624958,3155.0,2630.0,2844.85,20678.46,96097.98777624957,20.5775
50,38878338.24499981,69901.74561249954,3710.0,2792.5,2806.7,20777.4,97195.84561249953,20.855000000000004
51,38530313.543249816,69414.89385812455,3540.0,2785.0,2741.9,20628.99,96325.78385812455,20.770000000000003
52,41810727.18050021,77558.36795125052,3370.0,2732.5,2870.52,20727.93,104526.81795125053,20.685000000000002
53,38781359.81224982,69879.02953062454,3520.0,2610.0,2727.5,20826.87,96953.39953062455,20.760000000000005
54,41540262.3710002,77257.28592750052,2940.0,2610.0,2974.91,20678.46,103850.6559275005,20.470000000000002
55,43307200.08500022,79630.27021250053,4305.0,2840.0,3060.63,21272.1,108268.00021250054,21.152500000000003
56,39064518.244999826,70041.74561249955,4060.0,2932.5,2782.15,20777.4,97661.29561249957,21.03
57,37750764.139749825,68406.19034937455,2885.0,2735.0,2753.55,20332.17,94376.91034937456,20.442500000000003
58,38725136.67774983,69721.96169437458,3610.0,2772.5,2752.95,20727.93,96812.84169437457,20.805000000000007
59,42138961.609000206,78056.61402250052,3355.0,2695.0,3059.45,20876.34,105347.40402250052,20.677500000000002
60,39324262.946749836,70466.09736687459,4070.0,2877.5,2848.75,20925.81,98310.65736687458,21.035000000000004
61,38472035.110499844,69452.1777762496,3215.0,2662.5,2834.45,20678.46,96180.08777624961,20.6075
62,38926839.812249824,70016.52953062457,3585.0,2747.5,2888.7,20826.87,97317.09953062456,20.7925
63,39640989.215749815,70985.23303937455,4135.0,2757.5,2858.55,21123.69,99102.47303937454,21.067500000000003
64,37875807.27424982,68628.25818562457,2805.0,2637.5,2825.15,20431.11,94689.51818562456,20.402500000000003
65,38638856.67774983,69646.96169437456,3385.0,2697.5,2837.25,20727.93,96597.14169437457,20.6925
66,39244384.51399982,70438.38128499954,3930.0,2690.0,2767.3,20975.28,98110.96128499955,20.965000000000003
67,39082981.37949982,70193.81344874957,3785.0,2765.0,2852.3,20876.34,97707.45344874955,20.8925
68,42413298.4185002,78362.6960462505,3730.0,2822.5,3014.74,20925.81,106033.2460462505,20.865000000000006
69,38376950.40874983,69182.82602187457,3400.0,2872.5,2829.5,20530.05,95942.37602187459,20.7
70,38419451.97599982,69277.60993999954,3340.0,2807.5,2851.5,20579.52,96048.62993999955,20.67
71,38898079.81224981,69996.52953062454,3600.0,2727.5,2821.8,20826.87,97245.19953062452,20.800000000000004
72,38766798.24499984,69824.2456124996,3470.0,2715.0,2845.35,20777.4,96916.9956124996,20.735000000000007
73,38390331.97599982,69250.10993999953,3380.0000000000005,2780.0,2766.2,20579.52,95975.82993999954,20.690000000000005
74,38903441.37949982,70056.31344874957,3495.0,2627.5,2830.95,20876.34,97258.60344874956,20.747500000000002
75,38596215.11049983,69554.67777624958,3425.0,2765.0,2832.4,20678.46,96490.53777624958,20.7125
76,38204268.841499835,68978.04210374958,3210.0,2827.5,2842.05,20480.58,95510.67210374959,20.605000000000004
77,38684716.67774982,69679.46169437455,3510.0,2730.0,2794.4,20727.93,96711.79169437455,20.755000000000003
78,40986173.51400021,76350.79378500053,2790.0,2775.0,2943.0,20381.64,102465.43378500052,20.395
79,38459293.54324983,69372.39385812457,3315.0,2742.5,2831.85,20628.99,96148.23385812457,20.657500000000002
80,38345831.97599983,69222.60993999959,3285.0,2752.5,2777.45,20579.52,95864.57993999957,20.642500000000005
81,39381244.513999805,70585.88128499952,3960.0,2837.5,2931.95,20975.28,98453.11128499951,20.980000000000004
82,38813256.67774982,69794.46169437455,3670.0,2845.0,2840.75,20727.93,97033.14169437456,20.835000000000004
83,38322288.84149982,69078.04210374954,3370.0,2927.5,2877.1,20480.58,95805.72210374955,20.685000000000002
84,38844359.812249824,69954.02953062457,3470.0,2685.0,2860.0,20826.87,97110.89953062456,20.735000000000003
85,38081930.40874982,68942.82602187454,2935.0,2632.5,2796.95,20530.05,95204.82602187454,20.4675
86,39451267.64849984,70752.94912124959,3925.0,2685.0,2876.0,21074.22,98628.1691212496,20.9625
87,38361453.543249816,69279.89385812453,3165.0,2650.0,2829.75,20628.99,95903.63385812454,20.582500000000003
88,40246515.48474981,71726.86871187453,4725.0,2860.0,2842.85,21321.57,100616.28871187453,21.362500000000004
89,42231701.60900019,78136.6140225005,3550.0,2775.0,3016.3,20876.34,105579.25402250048,20.775000000000002
90,38952519.81224983,70024.02953062458,3770.0,2755.0,2760.4,20826.87,97381.29953062459,20.885
91,38685215.11049983,69609.67777624956,3625.0,2820.0,2799.9,20678.46,96713.03777624958,20.812500000000007
92,39103464.51399983,70348.38128499957,3615.0,2600.0,2820.0,20975.28,97758.66128499957,20.807499999999997
93,38879841.37949982,70021.31344874954,3460.0,2592.5,2841.95,20876.34,97199.60344874956,20.730000000000004
94,38053528.84149982,68850.54210374954,3020.0,2700.0,2782.7,20480.58,95133.82210374955,20.510000000000005
