,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,8155557.304000004,132852.50608000008,5120.0,2920.0,3767.6,21371.04,163111.1460800001,21.560000000000002
1,7640665.676000005,125714.0335200001,3279.9999999999986,3000.0,3635.52,20183.76,152813.31352000008,20.639999999999997
2,7945621.428000004,130226.34856000009,4040.0,2700.0,3670.8,20975.28,158912.4285600001,21.02
3,7888337.428000005,129826.3485600001,3080.0,2300.0,3885.12,20975.28,157766.7485600001,20.540000000000003
4,7756301.552000008,127720.19104000015,3159.9999999999973,2600.0,3666.3200000000047,20579.52,155126.03104000015,20.579999999999995
5,8141193.304000004,132752.50608000008,4880.0,2820.0,3820.32,21371.04,162823.8660800001,21.44
6,7487913.8000000045,123427.87600000009,2920.0,3120.0,3622.4,19788.0,149758.2760000001,20.459999999999997
7,7965673.428000004,130346.34856000009,4240.0,2820.0,3751.84,20975.28,159313.46856000007,21.12
8,9210615.758000001,156152.55516000002,2960.0,2760.0,4916.0,20183.76,184212.31516000003,20.48
9,8001377.428000005,130586.3485600001,4640.0,3060.0,3825.92,20975.28,160027.5485600001,21.32
10,7583545.676000005,125314.0335200001,2400.0,2600.0,3773.12,20183.76,151670.9135200001,20.199999999999996
11,7654789.676000004,125794.03352000007,3519.999999999992,3080.0,3598.0,20183.76,153095.79352000006,20.759999999999994
12,7774545.552000005,127840.19104000009,3400.0,2720.0,3671.2,20579.52,155490.9110400001,20.700000000000003
13,8146213.304000004,132792.50608000008,4840.0,2860.0,3920.72,21371.04,162924.2660800001,21.42
14,7770965.552000004,127820.19104000008,3440.0,2700.0,3579.6,20579.52,155419.3110400001,20.72
15,8001097.428000004,130586.34856000009,4720.0,3060.0,3740.32,20975.28,160021.94856000008,21.36
16,8299985.180000003,135078.66360000006,5320.0,2740.0,3834.24,21766.8,165999.70360000007,21.66
17,7877577.428000004,129766.34856000009,3000.0,2240.0,3809.92,20975.28,157551.54856000008,20.5
18,8179489.304000005,133032.5060800001,5440.0,3100.0,3746.24,21371.04,163589.7860800001,21.72
19,8113533.304000005,132592.5060800001,4680.0,2660.0,3627.12,21371.04,162270.6660800001,21.339999999999996
20,9644417.474,162327.94948,4640.0,2920.0,4945.12,20975.28,192888.34947999998,21.32
21,8684076.932000004,140130.9786400001,7120.0,2980.0,3872.24,22558.32,173681.53864000007,22.56
22,7946697.428000004,130226.34856000009,4000.0,2700.0,3732.32,20975.28,158933.94856000008,21.0
23,8148293.304000004,132812.50608000008,4960.0,2880.0,3822.3200000000006,21371.04,162965.8660800001,21.48
24,8093833.304000004,132452.50608000008,4320.0,2520.0,3733.12,21371.04,161876.66608000008,21.16
25,7890641.428000005,129846.3485600001,3120.0,2320.0,3871.2,20975.28,157812.8285600001,20.56
26,8551009.056000004,138004.8211200001,7119.9999999999845,3260.0,3732.8,22162.56,171020.18112000008,22.55999999999999
27,7539649.676000004,125034.03352000007,2040.0,2320.0,3535.2,20183.76,150792.99352000008,20.020000000000003
28,8140433.304000003,132772.50608000008,4960.0,2840.0,3705.12,21371.04,162808.66608000005,21.48
29,8115569.304000003,132612.50608000008,4680.0,2680.0,3647.84,21371.04,162311.38608000005,21.340000000000003
