,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,31544733.800000127,98344.77520000051,4272.0,2700.0,2586.88,20975.28,126178.93520000052,21.13600000000001
1,31501074.880000122,98123.85152000049,4368.0,2840.0,2616.32,20896.128,126004.29952000048,21.184000000000008
2,32551246.240000136,100871.24096000055,5128.0,2700.0,2676.4,21529.344,130204.98496000054,21.564000000000007
3,31046058.12000012,97001.08048000048,3824.0,2800.0,2700.48,20658.672,124184.23248000049,20.912000000000006
4,31200078.120000124,97209.0804800005,4384.0,3008.0,2548.56,20658.672,124800.3124800005,21.19200000000001
5,31073738.12000012,97041.08048000048,4039.9999999999955,2840.0,2555.2,20658.672,124294.95248000049,21.020000000000007
6,31018958.120000124,96973.08048000048,3880.0000000000114,2772.0,2564.08,20658.672,124075.83248000049,20.940000000000012
7,30657121.360000115,95970.30944000046,3688.0000000000027,2852.0,2548.96,20421.216,122628.48544000046,20.84400000000001
8,30754600.28000012,96279.23312000048,3720.0,2800.0,2518.8,20500.368,123018.40112000048,20.86000000000001
9,31176438.120000128,97173.08048000051,4264.0,2972.0,2610.0,20658.672,124705.7524800005,21.13200000000001
10,31573972.720000125,98549.6988800005,4016.0,2544.0,2675.76,21054.432,126295.8908800005,21.008000000000006
11,31567614.88000013,98211.85152000052,4616.0,2928.0,2546.48,20896.128,126270.45952000051,21.30800000000001
12,32190368.40000013,100061.39360000052,4720.0,2612.0,2609.04,21371.04,128761.47360000052,21.360000000000007
13,31187417.040000126,97358.0041600005,4064.0,2796.0,2589.84,20737.824,124749.6681600005,21.03200000000001
14,31523094.880000122,98143.85152000049,4472.0,2860.0,2580.4,20896.128,126092.37952000048,21.236000000000008
15,31275315.960000124,97642.9278400005,4088.0,2720.0,2553.36,20816.976,125101.2638400005,21.04400000000001
16,31120897.040000115,97266.00416000046,3912.0,2704.0,2567.76,20737.824,124483.58816000046,20.956000000000014
17,30721860.280000117,96227.23312000047,3376.0,2748.0,2783.84,20500.368,122887.44112000047,20.688000000000013
18,31069517.04000012,97198.00416000048,3808.0,2636.0,2534.24,20737.824,124278.06816000048,20.904000000000007
19,31531174.880000126,98155.8515200005,4288.0,2872.0,2784.72,20896.128,126124.6995200005,21.14400000000001
20,31390194.88000012,97963.85152000048,4064.0,2680.0,2636.8,20896.128,125560.77952000048,21.032000000000007
21,31153497.04000013,97314.00416000052,4008.0,2752.0,2554.16,20737.824,124613.98816000052,21.00400000000001
22,31644513.800000116,98472.77520000047,4424.0,2828.0,2706.0,20975.28,126578.05520000047,21.212000000000007
23,30323663.520000115,95192.46208000046,3304.0,2796.0,2535.28,20262.912,121294.65408000046,20.65200000000001
24,30661401.360000115,95986.30944000046,3528.0,2868.0,2710.08,20421.216,122645.60544000047,20.764000000000006
25,31209037.04000013,97390.00416000052,4079.9999999999973,2828.0,2628.32,20737.824,124836.14816000052,21.040000000000006
26,31100559.20000012,96904.15680000048,4352.0,3064.0,2566.56,20579.52,124402.23680000048,21.176000000000013
27,30418601.360000122,95658.30944000049,3080.0,2540.0,2514.88,20421.216,121674.40544000048,20.540000000000006
28,30383862.440000113,95441.38576000046,2992.0,2684.0,2760.0,20342.064,121535.44976000045,20.49600000000001
29,30980559.20000012,96744.15680000048,4064.0,2904.0,2534.56,20579.52,123922.23680000048,21.03200000000001
30,31943351.640000124,99206.6225600005,4784.0,2840.0,2649.2,21133.584,127773.4065600005,21.392000000000014
31,31431254.880000122,98019.85152000049,4280.0,2736.0,2529.04,20896.128,125725.01952000048,21.14000000000001
32,31792791.640000124,99010.6225600005,4424.0,2644.0,2602.96,21133.584,127171.16656000049,21.21200000000001
33,30910959.200000122,96656.15680000049,3600.0,2816.0,2808.16,20579.52,123643.83680000048,20.800000000000008
34,31191798.12000012,97193.08048000048,4368.0,2992.0,2547.44,20658.672,124767.19248000048,21.184000000000008
35,31760111.640000124,98962.6225600005,4344.0,2596.0,2600.24,21133.584,127040.44656000049,21.17200000000001
36,31343515.96000011,97742.92784000044,4248.0,2820.0,2566.16,20816.976,125374.06384000044,21.12400000000001
37,32542727.32000012,100694.31728000048,5416.0,2884.0,2610.4,21450.192,130170.90928000047,21.70800000000001
38,31085355.960000128,97394.9278400005,3512.0000000000173,2472.0,2617.52,20816.976,124341.42384000051,20.756000000000014
39,31892571.64000012,99150.62256000048,4696.0,2784.0,2590.08,21133.584,127570.28656000047,21.348000000000006
40,30453782.440000113,95533.38576000046,3336.0,2776.0,2603.68,20342.064,121815.12976000045,20.66800000000001
41,31985610.560000125,99439.5462400005,4616.0,2712.0,2674.16,21212.736,127942.4422400005,21.308000000000007
42,31246997.040000122,97442.00416000049,4240.0,2880.0,2568.16,20737.824,124987.98816000049,21.120000000000008
43,31312477.04000011,97530.00416000045,4352.0,2968.0,2630.08,20737.824,125249.90816000044,21.17600000000001
44,30450343.52000011,95364.46208000045,3648.0,2968.0,2526.0,20262.912,121801.37408000045,20.824000000000005
45,31422074.880000126,98011.8515200005,4232.0,2728.0,2548.32,20896.128,125688.2995200005,21.116000000000007
46,30670860.280000106,96159.23312000043,3472.0,2680.0,2551.84,20500.368,122683.44112000043,20.736000000000008
47,31077178.120000124,97037.0804800005,3992.0,2836.0,2620.96,20658.672,124308.7124800005,20.996000000000006
48,31558754.880000114,98195.85152000046,4568.0,2912.0,2575.04,20896.128,126235.01952000045,21.28400000000001
49,30971355.960000116,97242.92784000047,3272.0,2320.0,2553.52,20816.976,123885.42384000047,20.63600000000001
