,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,32212364.766666736,80659.48922222246,3473.333333333337,2710.0,2728.1666666666665,20513.56,107374.54922222246,20.736666666666675
1,32896106.93333339,81959.36311111129,4220.0,2756.6666666666665,2630.9666666666667,20843.36,109653.68977777797,21.109999999999996
2,33008447.36666672,82193.33788888906,4240.0,2740.0,2685.5,20909.32,110028.15788888907,21.12
3,32374424.76666672,80849.4892222224,3879.9999999999986,2900.0,2671.7,20513.56,107914.74922222241,20.94
4,31999863.900000054,80214.87300000018,3439.999999999994,2766.6666666666665,2629.7,20381.64,106666.21300000018,20.719999999999988
5,32461425.63333339,81160.77211111129,3666.6666666666665,2710.0,2731.8333333333335,20645.48,108204.7521111113,20.833333333333336
6,31541202.600000054,79382.94866666685,2820.0,2686.6666666666665,2750.633333333333,20183.76,105137.34200000018,20.410000000000004
7,32913526.50000012,81875.38833333358,4406.666666666811,2923.3333333333335,2652.3000000000006,20777.4,109711.7550000004,21.2033333333334
8,36490784.78300014,93773.3559433338,3900.0,2590.0,2789.4333333333334,21173.16,121635.94927666713,20.95
9,34703959.527666815,89959.84509222272,2646.6666666666665,2753.3333333333335,2823.633333333333,20249.72,115679.86509222271,20.323333333333334
10,33656349.100000046,83345.90366666685,4953.3333333333,2890.0,2715.4333333333334,21173.16,112187.83033333349,21.47666666666664
11,32698446.066666722,81524.74688888907,3966.6666666666665,2823.3333333333335,2791.9666666666667,20711.44,108994.8202222224,20.983333333333334
12,33620189.53333339,83413.21177777796,4626.666666666667,2706.6666666666665,2788.3,21239.12,112067.29844444463,21.31333333333333
13,32871886.500000056,81832.05500000018,4313.333333333333,2880.0,2650.1666666666665,20777.4,109572.95500000019,21.156666666666663
14,32443364.76666672,80909.4892222224,4080.0,2960.0,2641.5,20513.56,108144.5492222224,21.04
15,32412585.200000055,80993.46400000018,3626.6666666666683,2793.3333333333335,2842.3,20579.52,108041.95066666685,20.813333333333333
16,32720546.933333393,81772.69644444465,3700.0,2570.0,2752.4333333333334,20843.36,109068.48977777798,20.85
17,36480198.69333349,93632.6289777783,4046.6666666666665,2733.3333333333335,2814.1666666666665,21107.2,121600.66231111164,21.02333333333334
